hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo
12/5/2023-22:17:30::4::44::449,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::4::44::449,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::4::44::449,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::4::44::449,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::4::44::449,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::4::44::449,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::4::44::449,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::4::44::449,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::5::53::532,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::5::53::532,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::5::53::532,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::5::53::532,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::5::55::555,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::5::55::555,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::5::55::555,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::5::55::555,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::6::60::603,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::6::60::603,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::6::60::603,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::6::60::603,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::6::63::630,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::6::63::630,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::6::65::658,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::6::65::658,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::6::68::681,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::6::68::681,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::6::68::681,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::7::70::706,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::7::73::733,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::7::73::733,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::7::73::733,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::7::73::733,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::7::75::755,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::7::75::755,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::7::78::784,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::7::78::784,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::8::80::805,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::8::80::805,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::8::80::805,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::8::80::805,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::8::85::856,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::8::85::856,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::8::85::856,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
12/5/2023-22:17:30::8::85::856,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
